,timestamp,timestamp,timestamp,timestamp,timestamp,timestamp,timestamp,timestamp,imsi,imsi,imsi,imsi,imsi,imsi,imsi,imsi,lac_id,lac_id,lac_id,lac_id,lac_id,lac_id,lac_id,lac_id,cell_id,cell_id,cell_id,cell_id,cell_id,cell_id,cell_id,cell_id,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
0,1.0,2018100300.0,,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,1.0,4.600200950208262e+17,,4.600200950208262e+17,4.600200950208262e+17,4.600200950208262e+17,4.600200950208262e+17,4.600200950208262e+17,1.0,16386.0,,16386.0,16386.0,16386.0,16386.0,16386.0,1.0,249625612.0,,249625612.0,249625612.0,249625612.0,249625612.0,249625612.0,1.0,123.3318634,,123.3318634,123.3318634,123.3318634,123.3318634,123.3318634,1.0,41.65655136,,41.65655136,41.65655136,41.65655136,41.65655136,41.65655136
1,1.0,2018100300.0,,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,1.0,4.600000950934177e+17,,4.600000950934177e+17,4.600000950934177e+17,4.600000950934177e+17,4.600000950934177e+17,4.600000950934177e+17,1.0,16386.0,,16386.0,16386.0,16386.0,16386.0,16386.0,1.0,67529523.0,,67529523.0,67529523.0,67529523.0,67529523.0,67529523.0,1.0,123.3417969,,123.3417969,123.3417969,123.3417969,123.3417969,123.3417969,1.0,41.66085815,,41.66085815,41.66085815,41.66085815,41.66085815,41.66085815
2,2.0,2018100300.0,0.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2.0,4.600000950934177e+17,0.0,4.600000950934177e+17,4.600000950934177e+17,4.600000950934177e+17,4.600000950934177e+17,4.600000950934177e+17,2.0,16386.0,0.0,16386.0,16386.0,16386.0,16386.0,16386.0,2.0,67529543.0,0.0,67529543.0,67529543.0,67529543.0,67529543.0,67529543.0,2.0,123.3417969,0.0,123.3417969,123.3417969,123.3417969,123.3417969,123.3417969,2.0,41.66085815,0.0,41.66085815,41.66085815,41.66085815,41.66085815,41.66085815
3,3.0,2018100300.0,0.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,3.0,4.6000009509012986e+17,0.0,4.6000009509012986e+17,4.6000009509012986e+17,4.6000009509012986e+17,4.6000009509012986e+17,4.6000009509012986e+17,3.0,16388.0,0.0,16388.0,16388.0,16388.0,16388.0,16388.0,3.0,67638590.0,0.0,67638590.0,67638590.0,67638590.0,67638590.0,67638590.0,3.0,123.3495178,0.0,123.3495178,123.3495178,123.3495178,123.3495178,123.3495178,3.0,41.79727936,0.0,41.79727936,41.79727936,41.79727936,41.79727936,41.79727936
4,2.0,2018100300.0,0.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2.0,4.600200950818808e+17,0.0,4.600200950818808e+17,4.600200950818808e+17,4.600200950818808e+17,4.600200950818808e+17,4.600200950818808e+17,2.0,16394.0,0.0,16394.0,16394.0,16394.0,16394.0,16394.0,2.0,60310659.0,0.0,60310659.0,60310659.0,60310659.0,60310659.0,60310659.0,2.0,122.8413925,0.0,122.8413925,122.8413925,122.8413925,122.8413925,122.8413925,2.0,41.99573898,0.0,41.99573898,41.99573898,41.99573898,41.99573898,41.99573898
5,5.0,2018100300.0,0.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,5.0,4.600000950901916e+17,0.0,4.600000950901916e+17,4.600000950901916e+17,4.600000950901916e+17,4.600000950901916e+17,4.600000950901916e+17,5.0,16394.0,0.0,16394.0,16394.0,16394.0,16394.0,16394.0,5.0,60333189.0,0.0,60333189.0,60333189.0,60333189.0,60333189.0,60333189.0,5.0,122.8239136,0.0,122.8239136,122.8239136,122.8239136,122.8239136,122.8239136,5.0,42.01221848,0.0,42.01221848,42.01221848,42.01221848,42.01221848,42.01221848
6,1.0,2018100300.0,,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,1.0,4.600000950911806e+17,,4.600000950911806e+17,4.600000950911806e+17,4.600000950911806e+17,4.600000950911806e+17,4.600000950911806e+17,1.0,16395.0,,16395.0,16395.0,16395.0,16395.0,16395.0,1.0,60335502.0,,60335502.0,60335502.0,60335502.0,60335502.0,60335502.0,1.0,123.47640990000002,,123.47640990000002,123.47640990000002,123.47640990000002,123.47640990000002,123.47640990000002,1.0,41.82775116,,41.82775116,41.82775116,41.82775116,41.82775116,41.82775116
7,1.0,2018100300.0,,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,1.0,4.600000950911806e+17,,4.600000950911806e+17,4.600000950911806e+17,4.600000950911806e+17,4.600000950911806e+17,4.600000950911806e+17,1.0,16395.0,,16395.0,16395.0,16395.0,16395.0,16395.0,1.0,68102945.0,,68102945.0,68102945.0,68102945.0,68102945.0,68102945.0,1.0,123.4603577,,123.4603577,123.4603577,123.4603577,123.4603577,123.4603577,1.0,41.83380127,,41.83380127,41.83380127,41.83380127,41.83380127,41.83380127
8,4.0,2018100300.0,0.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,4.0,4.600000950834993e+17,0.0,4.600000950834993e+17,4.600000950834993e+17,4.600000950834993e+17,4.600000950834993e+17,4.600000950834993e+17,4.0,16398.0,0.0,16398.0,16398.0,16398.0,16398.0,16398.0,4.0,67248673.0,0.0,67248673.0,67248673.0,67248673.0,67248673.0,67248673.0,4.0,123.527092,0.0,123.527092,123.527092,123.527092,123.527092,123.527092,4.0,41.82112885,0.0,41.82112885,41.82112885,41.82112885,41.82112885,41.82112885
9,5.0,2018100300.0,0.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,5.0,4.600140950748036e+17,31304932305350.09,4.6000009508347046e+17,4.6000009508347046e+17,4.6000009508347046e+17,4.6000009508347046e+17,4.6007009504013626e+17,5.0,16401.0,0.0,16401.0,16401.0,16401.0,16401.0,16401.0,5.0,60622221.0,0.0,60622221.0,60622221.0,60622221.0,60622221.0,60622221.0,5.0,123.4099121,0.0,123.4099121,123.4099121,123.4099121,123.4099121,123.4099121,5.0,41.77733994,0.0,41.77733994,41.77733994,41.77733994,41.77733994,41.77733994
10,1.0,2018100300.0,,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,1.0,4.6007009504013626e+17,,4.6007009504013626e+17,4.6007009504013626e+17,4.6007009504013626e+17,4.6007009504013626e+17,4.6007009504013626e+17,1.0,16401.0,,16401.0,16401.0,16401.0,16401.0,16401.0,1.0,60622477.0,,60622477.0,60622477.0,60622477.0,60622477.0,60622477.0,1.0,123.4200363,,123.4200363,123.4200363,123.4200363,123.4200363,123.4200363,1.0,41.77246094,,41.77246094,41.77246094,41.77246094,41.77246094,41.77246094
11,1.0,2018100300.0,,2018100300.0,2018100300.0,2018100300.0,2018100300.0,2018100300.0,1.0,4.60000095080923e+17,,4.60000095080923e+17,4.60000095080923e+17,4.60000095080923e+17,4.60000095080923e+17,4.60000095080923e+17,1.0,16401.0,,16401.0,16401.0,16401.0,16401.0,16401.0,1.0,67447357.0,,67447357.0,67447357.0,67447357.0,67447357.0,67447357.0,1.0,123.4161072,,123.4161072,123.4161072,123.4161072,123.4161072,123.4161072,1.0,41.78958893,,41.78958893,41.78958893,41.78958893,41.78958893,41.78958893
